f1ch1,f1ch2,f2ch1,f2ch2,f3ch1,f3ch2,f4ch1,f4ch2,Category
0.00020121488194350167,0.0006106496120495243,0.03350213725555054,0.08613635410905633,36,32,81,79,0
0.0002658351523713128,0.0007497670735044362,0.04209229524551433,0.10116720195049933,36,26,77,76,0
0.00034785162000470495,0.0009100002314877333,0.043741603054157106,0.12270078013174265,24,20,69,67,0
0.00032513900592530154,0.0009797577680132528,0.04062227810139022,0.1301519862186174,26,22,70,69,0
0.00032876268841107946,0.0010251194560239763,0.042762455244926084,0.14279239093721754,18,28,78,64,0
0.0002876731361210377,0.0009963760253945252,0.036142719464096563,0.13425513552289078,24,30,85,59,0
0.00021449946286675872,0.0008276330151487911,0.03430298396542009,0.11789447459612956,30,30,92,57,0
0.00023923718185674348,0.0008954838912449436,0.03643857660896014,0.1188386291042164,32,28,82,57,0
0.000247526066674009,0.0008484296326638382,0.039792276391069865,0.11174991449649677,30,32,81,62,0
0.00024924392946212696,0.0007504466409489941,0.039077879096221624,0.11082142885433002,34,32,80,64,0
0.00026672149460319416,0.0008414468885371442,0.041293155397254026,0.11409089735636349,30,36,76,63,0
0.0002537543559799854,0.0007796447839623638,0.04366793911479242,0.10926962102859282,28,30,76,62,0
0.00023271678710897164,0.0007243153215424321,0.03741718731446156,0.10514703328778689,30,26,78,60,0
0.00022893760533313222,0.0007700218609519331,0.03913834074840094,0.1096820141029632,32,28,73,64,0
0.00022928421996088182,0.000697663957901349,0.03653711390943723,0.10072242494602486,32,26,69,69,0
0.00021108136780665266,0.0007700888957210311,0.031938002304726716,0.10833170787835528,32,26,74,69,0
0.00022458186128363465,0.0007072790545110202,0.033590090063133286,0.10463155214703516,34,28,76,71,0
0.00020088068520989603,0.0006630346312854935,0.030900202947572987,0.09462760359043527,30,36,71,69,0
0.00022135371580683336,0.0007239944137868461,0.035243357838896185,0.10622637871099107,30,40,75,63,0
0.00022941084314829344,0.000695507067787786,0.034321277164783504,0.10006612452239279,26,38,78,66,0
0.00024136692967737923,0.0008255669398206731,0.03525101216298369,0.12109824506363019,16,32,77,63,0
0.00028165609617142556,0.0008735596541034196,0.03872359698134763,0.11884772594932291,24,34,80,59,0
0.0003433834128052841,0.000868927992211997,0.04941307273715293,0.12270280515098647,24,32,81,61,0
0.0003469704882903609,0.0008967582336444368,0.05604825298811983,0.12773713303279666,30,30,84,60,0
0.0003802758457564866,0.0009107212434666846,0.05775152906188299,0.12322298755488813,34,30,85,62,0
0.000358847229436819,0.0009831791401682724,0.05837394047756149,0.12404208850684686,24,28,87,65,0
0.0003208937260693204,0.0010322682240562673,0.04617083309593626,0.12537500284457387,24,26,79,61,0
0.0003162920956300356,0.0011826456342255733,0.04484846154122775,0.13715615125920133,24,24,71,58,0
0.0003584899453161228,0.0010134237881374974,0.043377534887007886,0.11965588984115377,30,22,71,57,0
0.0003077498597925839,0.0009671001017338672,0.039490670235603015,0.11753216726050876,28,18,70,57,0
0.000282247976436203,0.000850719418724066,0.03960089207291407,0.10558817197894152,32,26,72,61,0
0.00027138630292129095,0.0006664105141798518,0.036993970948122755,0.09056556402076478,32,28,72,63,0
0.00022174196804372856,0.0007734412905884627,0.03276807512589683,0.10742898240270438,30,28,65,62,0
0.00022064254443067153,0.0009048327510276147,0.03291971586327136,0.11760633423483821,30,22,68,58,0
0.00022910833142586354,0.0008978509889774005,0.03211944235033851,0.11453932154876187,28,24,68,59,0
0.00021520300385685827,0.0009629363254126293,0.02844313224997662,0.12655506123240393,20,24,70,61,0
0.00020344353981542645,0.0009180968850972666,0.02831892989539808,0.10997394882260583,20,22,72,64,0
0.00019443582861538466,0.0007452625073649733,0.02719285752064725,0.10126323315477608,22,22,71,66,0
0.0002307877315645989,0.0007657441816832923,0.02888780434184987,0.10083621618108472,22,18,71,68,0
0.0006195198573551415,0.0008251193997589056,0.048334302522367326,0.09928701203994462,12,22,70,68,0
0.0006492920124982159,0.0009171486927391416,0.05567283269649397,0.11888124583430032,14,20,70,66,0
0.0006840712191930155,0.0009980688516655525,0.061737177173323415,0.12179441559994889,12,22,65,69,0
0.00030479041015777557,0.0008462035883093389,0.0437056541346177,0.13162227164314433,26,32,66,70,0
0.0003290730099092757,0.0009029694857459701,0.052437049800895884,0.1398879692511831,30,32,66,70,0
0.0002989162144869378,0.0008296603370751682,0.04759460586469402,0.12958562058282583,28,36,74,70,0
0.0002718272694939919,0.001164011212875625,0.04393250486776111,0.16898602461228618,28,32,78,65,0
0.0002763669506189435,0.0012006128676633277,0.04757353396831954,0.17206883263139092,32,28,80,63,0
