ch 1: '0.001354' 	 ch 2: '0.001688' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '0.001352' 	 ch 2: '0.001691' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '0.001354' 	 ch 2: '0.001693' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '0.001358' 	 ch 2: '0.001692' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '0.001357' 	 ch 2: '0.001692' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '0.001354' 	 ch 2: '0.001692' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '0.001356' 	 ch 2: '0.001694' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '0.001354' 	 ch 2: '0.001692' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '0.001354' 	 ch 2: '0.001688' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '0.001349' 	 ch 2: '0.001684' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '0.001351' 	 ch 2: '0.001690' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002809' 	 ch 2: '-0.002339' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002815' 	 ch 2: '-0.002362' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002811' 	 ch 2: '-0.002364' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002815' 	 ch 2: '-0.002362' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002819' 	 ch 2: '-0.002361' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002813' 	 ch 2: '-0.002367' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002813' 	 ch 2: '-0.002361' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002815' 	 ch 2: '-0.002366' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002817' 	 ch 2: '-0.002364' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002817' 	 ch 2: '-0.002363' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002814' 	 ch 2: '-0.002365' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002813' 	 ch 2: '-0.002362' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002814' 	 ch 2: '-0.002359' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002813' 	 ch 2: '-0.002362' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002812' 	 ch 2: '-0.002365' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002818' 	 ch 2: '-0.002362' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002815' 	 ch 2: '-0.002366' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002811' 	 ch 2: '-0.002362' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002809' 	 ch 2: '-0.002363' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002815' 	 ch 2: '-0.002362' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002813' 	 ch 2: '-0.002363' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002812' 	 ch 2: '-0.002365' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002814' 	 ch 2: '-0.002362' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002809' 	 ch 2: '-0.002363' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002811' 	 ch 2: '-0.002367' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002816' 	 ch 2: '-0.002362' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002814' 	 ch 2: '-0.002359' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002815' 	 ch 2: '-0.002362' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002819' 	 ch 2: '-0.002365' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002813' 	 ch 2: '-0.002364' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002818' 	 ch 2: '-0.002359' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002821' 	 ch 2: '-0.002361' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002816' 	 ch 2: '-0.002357' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002811' 	 ch 2: '-0.002356' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002815' 	 ch 2: '-0.002361' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
ch 1: '-0.002815' 	 ch 2: '-0.002365' 	 ch 3: '0.000000' 	 ch 4: '0.000000' 	 ch 5: '0.000000' 	 ch 6: '0.000000' 	 ch 7: '0.000000' 	 ch 8: '0.000000'
