f1ch1,f1ch2,f2ch1,f2ch2,f3ch1,f3ch2,f4ch1,f4ch2,Category
0.0005659477636731708,0.0007655942553825559,0.06945944635683546,0.08848163125372427,28,26,66,58,0
0.0005493524448532226,0.0008162222479822046,0.06437607964445966,0.08970121618607264,28,26,63,55,0
0.0005082755740019078,0.0007164304782571307,0.061216646794004494,0.09018968422228989,34,28,71,59,0
0.0005483619760236944,0.0007017315234122436,0.0639779486912006,0.08824580285488506,30,30,77,62,0
0.0005404703040453485,0.0006536164875556935,0.06637692370804042,0.08687327534440854,32,28,76,62,0
0.0005681780078180898,0.0006287533473808529,0.0698702594544767,0.08976407115570702,32,28,77,61,0
0.0005533005253689484,0.000709880258776885,0.07076231387091225,0.0890225854487096,32,24,70,59,0
0.0005259551091217748,0.0006805856551857554,0.06879416855690937,0.08619123190434147,32,32,67,57,0
0.0006283332893267956,0.000600994162623405,0.06783752749877893,0.08038825252661352,20,28,73,62,0
0.0005814492282065543,0.0005794932483417713,0.06643971329496676,0.07056169256383969,30,24,68,69,0
0.0006393764542053371,0.0006128050083411907,0.06545787828590073,0.07168908780009149,28,26,72,71,0
0.0005941497282225382,0.000589968539592021,0.06324083963754652,0.07306981682670238,32,28,71,71,0
0.0005039620002235816,0.0006163477850494764,0.05623228506774878,0.0762049485274587,28,34,72,68,0
0.0004863977855049044,0.0006047509481433803,0.051399273722621944,0.07563463135011934,28,30,72,65,0
0.00038201210303426893,0.0005572647007348438,0.04510563648750295,0.06745743738227222,28,30,81,66,0
0.0003914706532210877,0.000538930768953944,0.04400265611295195,0.06002420319455793,26,24,71,67,0
0.0004686649193710159,0.0005997576774470271,0.0496497633302819,0.06320282338137612,24,24,71,65,0
0.00042308844470952974,0.0007111897478583699,0.05361441664036191,0.0703735400062435,22,24,69,60,0
0.00047331757073884167,0.0007480780046362627,0.05862937911252593,0.07549039691832075,32,28,71,64,0
0.0004860979504078468,0.0007002999953387549,0.06171425640244726,0.07872087476521303,30,26,76,64,0
0.00048617342204233376,0.0006186044505511279,0.05707584959720059,0.06867428802763814,26,22,74,69,0
0.0004261664519304272,0.0004631302826385137,0.05584834090197743,0.06078269289777087,22,24,71,73,0
0.0005103253857059201,0.00039917918515420023,0.054998320906431926,0.054325568282408525,20,28,66,69,0
0.00044740182364884736,0.0005335172791598689,0.05332265307973691,0.057291802168785044,28,18,69,65,0
0.0005353298416873149,0.0005372082027170893,0.05720472116972357,0.06323514195505281,20,18,58,58,0
0.0005160545125731883,0.0006058587222295861,0.059867047908904035,0.0723986989270613,28,20,57,58,0
0.00048178138305266205,0.0006389822578842515,0.06436803259478797,0.07977459246100017,34,26,61,57,0
0.00043947950557537247,0.0006199291171006986,0.06340514732180776,0.08012775638573941,36,26,70,58,0
0.0004345795829699922,0.0006292120817861349,0.06432076221335445,0.08622587089107131,32,30,78,62,0
0.00041157672523305723,0.0006428291279956856,0.06033011484232289,0.08307263664869097,34,32,79,62,0
0.00039656067571671914,0.0007073825840001412,0.05644764908584752,0.091057231724164,32,30,78,59,0
0.0004540535936641608,0.0007452401309717273,0.05915348593732946,0.09027051874527339,30,24,71,63,0
0.0004531158486438523,0.0007158353536876034,0.05833504045350113,0.08819154459428893,34,26,72,58,0
0.0004459305521832747,0.0007004534575852356,0.059308271498932856,0.08718201780692121,36,24,69,61,0
0.0004404169755251609,0.0006017303936199324,0.05961358552508369,0.0773740862837344,40,26,70,63,0
0.0004388596658057233,0.0006726529548142162,0.059552032047378134,0.08218362899942937,34,24,68,63,0
0.00047619560192234433,0.0006619596019148337,0.061849555555599164,0.08038531491310835,28,28,65,69,0
0.0005229253414046732,0.0008003781773990913,0.06249524314561324,0.09184218947213536,32,24,64,65,0
0.0005017391872092677,0.0009142016797379401,0.06025504475651808,0.09876167618169308,28,28,65,56,0
0.0006472247304963041,0.001313341043143842,0.06377416532551927,0.11837303050801565,22,20,59,64,0
0.0005697493994808296,0.0013170874895635923,0.06182672817033981,0.11883194652147824,26,18,60,58,0
0.0005301551175390906,0.0012133931714555064,0.057789184626634786,0.1127742279777064,34,18,66,51,0
0.0005647526452184427,0.0006673490851182337,0.06483938016989406,0.08515997815426957,38,28,64,52,0
0.0004911067240480778,0.0006472161725615866,0.05953094572929283,0.08503343197167805,28,30,66,54,0
0.0005180101766150643,0.0005505873541021967,0.05778334947565358,0.07807253148174483,24,30,62,61,0
0.0005512971082895566,0.000577668623049938,0.06424340492470948,0.08205257866755179,26,38,63,64,0
0.0005370124599238118,0.0006391923357949408,0.06205815710286911,0.08797601438911935,26,30,60,69,0
0.0005337050462869879,0.000729181794155471,0.06221946136474875,0.09268906248490663,30,28,70,60,0
0.0012903775080061958,0.0010983428175556883,0.1666322772363301,0.12384460622200166,26,28,63,49,1
0.0012307460326398576,0.0011728512458029248,0.14816557720897672,0.12840999176537346,28,22,62,57,1
0.0012332148635136782,0.0009646705730816435,0.16654180055078088,0.11883634812789504,30,18,59,59,1
0.0012860525997877542,0.0010112122282086525,0.18358564568119023,0.12069125478264317,32,22,61,59,1
0.001211839256330089,0.0009789203053616631,0.1834891987286724,0.11566136482834946,28,20,67,59,1
0.0012924160845865951,0.0009594308482711576,0.1920520466493776,0.11058718913774622,32,22,69,65,1
0.0011638553193876735,0.0009169229756909149,0.17499425556402903,0.11363255865677825,28,20,66,64,1
0.0010617429631365966,0.0007962077145644732,0.16118217837763593,0.09850993164716328,28,20,66,69,1
0.0009798874325437216,0.0008246010018671677,0.14750477390724845,0.0912281905573306,32,20,69,71,1
0.0009113397995984168,0.0007984242771649293,0.13574614113768918,0.08360760120702841,32,20,71,69,1
0.0007954935781237443,0.0007957217240399334,0.12854957504199901,0.07528896953278763,34,22,73,69,1
0.0008375375353170564,0.0007896401660163468,0.12730203761187509,0.07968943841852828,30,18,72,62,1
0.0008184019511423244,0.0007420402620222595,0.12634019100873306,0.07562681613841872,34,20,79,65,1
0.0008478005091744005,0.0006787560944866912,0.12600539903258537,0.07253267889694519,32,18,75,66,1
0.0008471202554318166,0.0006443663121062414,0.12399177701805975,0.0736172647104399,32,22,75,61,1
0.0008018647679213598,0.0006163736536986493,0.1228156324401616,0.06470073029381891,30,22,78,65,1
0.0008970132199039166,0.0006107951022421248,0.1315947188386612,0.06411714808763092,24,32,73,58,1
0.0009284946264531062,0.0006463694017653306,0.12992130667685126,0.06683406836050644,24,24,78,57,1
0.0008628819251378332,0.0006517500226406126,0.12409644806482985,0.06490110831746046,28,24,79,58,1
0.0008730936279046812,0.0006623911080043881,0.1176364154626081,0.06815716058156965,28,20,76,58,1
0.0007893716689343408,0.0006300496044903953,0.10880876155936117,0.0641720475788153,28,24,74,64,1
0.000715780628813887,0.000567510606683286,0.10222564538402613,0.061135162890815616,32,26,74,70,1
0.0007069770026101825,0.0005248716108529606,0.10047031974106335,0.05802034467837292,34,26,77,68,1
0.0006816149574592658,0.0004774969513694139,0.09937024207881588,0.054772866199896714,36,22,74,73,1
0.0007222099708690229,0.000649830074275759,0.1008578998936958,0.0668310781458514,32,16,75,66,1
0.0006887132522486019,0.0006316154659288572,0.09041839083152163,0.06271989676018185,24,16,73,60,1
0.0006819727365880114,0.0006130320111576453,0.09227585784305779,0.06278266977271113,24,20,71,59,1
0.0007311395946033989,0.0006551086691231275,0.08770383182226288,0.06654069902242683,24,18,73,53,1
0.0005844003876603965,0.0005052888814338012,0.07986511511825985,0.05619676866398893,28,24,72,57,1
0.0006087531482250524,0.000554608617312354,0.07907558565867649,0.062394250280744044,26,28,69,55,1
0.0006661017146064401,0.0005213700607018211,0.08460687934784755,0.06401012532075621,26,34,68,60,1
0.000571245240046568,0.00046686694243064895,0.07962066290283007,0.06024893500084855,30,28,64,61,1
0.0005503703311242435,0.0004823400680487668,0.07769205119578995,0.056711524439453834,28,25,66,66,1
0.000567433683673021,0.000537140479424829,0.08338666492862458,0.06331046717372518,30,20,64,64,1
0.0005400052163517409,0.0006151817950501827,0.07651263668397623,0.0667992813072032,32,20,65,68,1
0.0006108421668019125,0.0007192632740141394,0.08743753688496567,0.07019026302805542,36,20,63,64,1
0.0006222320309038818,0.0007856083847884399,0.0903930019788702,0.07501401938569607,40,22,67,57,1
0.0006032813081204486,0.0007030259150728413,0.08874558152922438,0.0757498038355194,32,24,75,59,1
0.0006056311165038787,0.0008083727806604044,0.08425695802586321,0.07999640789843682,34,24,72,55,1
0.0005643707284870805,0.0012079007158617592,0.07391307824171212,0.09139009454463042,28,12,80,51,1
